0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:42:58 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:42:58 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:42:58 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:42:58 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:05 +0530] "GET /showProducts/8 HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:07 +0530] "GET /search?productId=34 HTTP/1.1" 200 174504
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:07 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:07 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:07 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:07 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:07 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:12 +0530] "GET /showProducts/8 HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:14 +0530] "GET /showProducts/6 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:15 +0530] "GET /showProducts/6 HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:16 +0530] "GET /search?productId=19 HTTP/1.1" 200 174504
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:16 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:16 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:16 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:16 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:16 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:22 +0530] "GET /showProducts/9 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:24 +0530] "GET /search?productId=31 HTTP/1.1" 200 174504
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:24 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:24 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:24 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:24 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:24 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:27 +0530] "GET /showProducts/52 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:28 +0530] "GET /search?productId=23 HTTP/1.1" 200 174504
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:28 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:28 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:28 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:28 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:28 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:33 +0530] "GET /showProducts/51 HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:40 +0530] "GET /cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:40 +0530] "GET /login HTTP/1.1" 200 19264
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:40 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:40 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:40 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:40 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:40 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:44:47 +0530] "GET /search?productId=23 HTTP/1.1" 200 174504
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:03 +0530] "GET / HTTP/1.1" 200 185397
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:03 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:03 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:03 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:03 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:03 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:16 +0530] "GET /login HTTP/1.1" 200 19264
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:16 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:16 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:16 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:16 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:16 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:22 +0530] "POST /checklogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:22 +0530] "GET / HTTP/1.1" 200 185642
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:22 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:22 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:22 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:22 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:22 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:25 +0530] "GET /addToCartFromProducts?subproductId=16 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:26 +0530] "GET /cart HTTP/1.1" 200 36510
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:26 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:26 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:26 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:26 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:26 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:30 +0530] "GET /updateQuantityPlus?cartId=24 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:30 +0530] "GET /cart HTTP/1.1" 200 36510
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:30 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:30 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:30 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:46:30 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
